country,iso_code,recognition_date,summary,link
Algeria,DZ,1988-11-15,"Recognized immediately following the Palestinian Declaration of Independence in Algiers.","https://www.mofa.pna.ps/en-us/mediaoffice/countries-recognized-the-state-of-palestine"
Jordan,JO,1988-11-16,"Recognized the State of Palestine one day after the Declaration.","https://www.mofa.pna.ps/en-us/mediaoffice/countries-recognized-the-state-of-palestine"
India,IN,1988-11-18,"Established full diplomatic relations with the State of Palestine in 1988.","https://www.mofa.pna.ps/en-us/mediaoffice/countries-recognized-the-state-of-palestine"
China,CN,1988-11-20,"PRC announced recognition and established diplomatic relations with the State of Palestine.","https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2868_663726/"
Bangladesh,BD,1988-11-16,"Recognized the State of Palestine shortly after the Declaration.","https://www.mofa.pna.ps/en-us/mediaoffice/countries-recognized-the-state-of-palestine"
Iran,IR,1988-02-04,"Recognition predating the November Declaration; long-standing backing for Palestinian statehood.","https://www.mofa.pna.ps/en-us/mediaoffice/countries-recognized-the-state-of-palestine"
Brazil,BR,2010-12-05,"Recognized Palestine within the 1967 borders via presidential letter.","https://www.aljazeera.com/news/2010/12/5/brazil-recognises-palestine"
Argentina,AR,2010-12-06,"Recognized a ‘free and independent’ State of Palestine within 1967 borders.","https://www.aljazeera.com/news/2010/12/7/argentina-recognises-palestine"
Chile,CL,2011-01-07,"Official note recognizing Palestine as a ‘free and sovereign’ state.","https://www.un.org/unispal/document/auto-insert-205714/"
Peru,PE,2011-01-24,"Recognized Palestine as a sovereign state on the 1967 lines.","https://www.theguardian.com/world/2011/jan/25/peru-recognises-palestinian-state"
Uruguay,UY,2011-03-16,"Recognized a ‘free and sovereign’ State of Palestine.","https://english.wafa.ps/Pages/Details/110453"
Iceland,IS,2011-12-15,"First Western European country to formally recognize the State of Palestine.","https://www.aljazeera.com/news/2011/12/15/iceland-recognises-palestinian-state"
Sweden,SE,2014-10-30,"First EU member state to recognize Palestine while an EU member; also increased aid.","https://www.un.org/unispal/document/auto-insert-203405/"
Norway,NO,2024-05-28,"Recognition took legal effect on 28 May 2024 following Royal Decree.","https://www.regjeringen.no/en/aktuelt/norway-recognises-palestine-as-a-state/id3040194/"
Ireland,IE,2024-05-28,"Formal recognition announced and affirmed in the Dáil on 28 May 2024.","https://www.gov.ie/en/department-of-foreign-affairs/speeches/statement-by-the-t%C3%A1naiste-on-recognition-of-the-state-of-palestine-in-d%C3%A1il-%C3%A9ireann-on-28-may-2024/"
Spain,ES,2024-05-28,"Council of Ministers approved recognition on 28 May 2024.","https://www.lamoncloa.gob.es/lang/en/presidente/news/paginas/2024/20240528-declaration-palestine.aspx"
Slovenia,SI,2024-06-04,"Recognition on 4 June 2024; diplomatic relations established the next day.","https://www.gov.si/en/countries/the-state-of-palestine/"
